roi,subj,input,nzmean,nzvoxels,nzsigma
RightPallidum,10195_20160317,_ref-wholebrain_time-mean_vol-mean_censor-fd0.3_calc-zscore_scale-none_tat2,-0.669490,174,0.510972
RightPallidum,10195_20160317,_ref-wholebrain_time-mean_vol-median_censor-fd0.3_calc-default_scale-none_tat2,0.808587,174,0.136127
RightPallidum,10195_20160317,_ref-wholebrain_time-mean_vol-median_censor-fd0.3_calc-log_scale-none_tat2,0.226376,174,0.164653
RightPallidum,10195_20160317,_ref-wholebrain_time-mean_vol-median_censor-fd0.3_calc-novol_scale-none_tat2,538.302952,174,90.625084
RightPallidum,10195_20160317,_ref-wholebrain_time-mean_vol-median_censor-fd0.3_calc-zscore_scale-none_tat2,-0.718497,174,0.510972
RightPallidum,10195_20160317,_ref-wholebrain_time-median_vol-mean_censor-fd0.3_calc-default_scale-1000nvox_tat2,0.005494,174,0.000925
RightPallidum,10195_20160317,_ref-wholebrain_time-median_vol-mean_censor-fd0.3_calc-default_scale-none_tat2,0.819301,174,0.137912
RightPallidum,10195_20160317,_ref-wholebrain_time-median_vol-mean_censor-fd0.3_calc-log_scale-none_tat2,0.213042,174,0.164578
RightPallidum,10195_20160317,_ref-wholebrain_time-median_vol-mean_censor-fd0.3_calc-novol_scale-none_tat2,538.258227,174,90.589764
RightPallidum,10195_20160317,_ref-wholebrain_time-median_vol-mean_censor-fd0.3_calc-zscore_scale-none_tat2,-0.669533,174,0.510990
RightPallidum,10195_20160317,_ref-wholebrain_time-median_vol-median_censor-fd0.3_calc-default_scale-none_tat2,0.808595,174,0.136123
RightPallidum,10195_20160317,_ref-wholebrain_time-median_vol-median_censor-fd0.3_calc-log_scale-none_tat2,0.226197,174,0.164591
RightPallidum,10195_20160317,_ref-wholebrain_time-median_vol-median_censor-fd0.3_calc-novol_scale-none_tat2,538.258227,174,90.589764
RightPallidum,10195_20160317,_ref-wholebrain_time-median_vol-median_censor-fd0.3_calc-zscore_scale-none_tat2,-0.718587,174,0.511026
RightAccumbens,10195_20160317,_ref-wholebrain_time-mean_vol-mean_censor-fd0.3_calc-default_scale-1000nvox_tat2,0.006952,42,0.000744
RightAccumbens,10195_20160317,_ref-wholebrain_time-mean_vol-mean_censor-fd0.3_calc-default_scale-none_tat2,1.036655,42,0.110993
RightAccumbens,10195_20160317,_ref-wholebrain_time-mean_vol-mean_censor-fd0.3_calc-log_scale-none_tat2,-0.029433,42,0.117460
RightAccumbens,10195_20160317,_ref-wholebrain_time-mean_vol-mean_censor-fd0.3_calc-novol_scale-none_tat2,681.121856,42,72.932236
RightAccumbens,10195_20160317,_ref-wholebrain_time-mean_vol-mean_censor-fd0.3_calc-zscore_scale-none_tat2,0.135818,42,0.411186
RightAccumbens,10195_20160317,_ref-wholebrain_time-mean_vol-median_censor-fd0.3_calc-default_scale-none_tat2,1.023121,42,0.109545
RightAccumbens,10195_20160317,_ref-wholebrain_time-mean_vol-median_censor-fd0.3_calc-log_scale-none_tat2,-0.016291,42,0.117460
RightAccumbens,10195_20160317,_ref-wholebrain_time-mean_vol-median_censor-fd0.3_calc-novol_scale-none_tat2,681.121856,42,72.932236
RightAccumbens,10195_20160317,_ref-wholebrain_time-mean_vol-median_censor-fd0.3_calc-zscore_scale-none_tat2,0.086810,42,0.411186
RightAccumbens,10195_20160317,_ref-wholebrain_time-median_vol-mean_censor-fd0.3_calc-default_scale-1000nvox_tat2,0.006951,42,0.000747
RightAccumbens,10195_20160317,_ref-wholebrain_time-median_vol-mean_censor-fd0.3_calc-default_scale-none_tat2,1.036592,42,0.111335
RightAccumbens,10195_20160317,_ref-wholebrain_time-median_vol-mean_censor-fd0.3_calc-log_scale-none_tat2,-0.029444,42,0.117873
RightAccumbens,10195_20160317,_ref-wholebrain_time-median_vol-mean_censor-fd0.3_calc-novol_scale-none_tat2,681.190074,42,73.102924
RightAccumbens,10195_20160317,_ref-wholebrain_time-median_vol-mean_censor-fd0.3_calc-zscore_scale-none_tat2,0.135507,42,0.412499
RightAccumbens,10195_20160317,_ref-wholebrain_time-median_vol-median_censor-fd0.3_calc-default_scale-none_tat2,1.023050,42,0.109869
RightAccumbens,10195_20160317,_ref-wholebrain_time-median_vol-median_censor-fd0.3_calc-log_scale-none_tat2,-0.016295,42,0.117863
RightAccumbens,10195_20160317,_ref-wholebrain_time-median_vol-median_censor-fd0.3_calc-novol_scale-none_tat2,681.190074,42,73.102924
RightAccumbens,10195_20160317,_ref-wholebrain_time-median_vol-median_censor-fd0.3_calc-zscore_scale-none_tat2,0.086556,42,0.412444
LeftCaudate,10195_20160317,_ref-wholebrain_time-mean_vol-median_censor-fd0.3_inverse-yes_calc-novol_scale-none_tat2,0.001406,311,0.000262
LeftCaudate,10195_20160317,_ref-wholebrain_time-mean_vol-mean_censor-fd0.3_inverse-yes_calc-log_scale-none_tat2,0.275136,311,0.164817
LeftCaudate,10195_20160317,_ref-wholebrain_time-mean_vol-median_censor-fd0.3_inverse-yes_calc-default_scale-none_tat2,0.936159,311,0.174453
LeftCaudate,10195_20160317,_ref-wholebrain_time-median_vol-mean_censor-fd0.3_inverse-yes_calc-novol_scale-none_tat2,0.001406,311,0.000262
LeftCaudate,10195_20160317,_ref-wholebrain_time-mean_vol-mean_censor-fd0.3_inverse-yes_calc-default_scale-1000nvox_tat2,0.010687,311,0.001982
LeftCaudate,10195_20160317,_ref-wholebrain_time-median_vol-mean_censor-fd0.3_inverse-yes_calc-log_scale-none_tat2,0.114991,311,0.163494
LeftCaudate,10195_20160317,_ref-wholebrain_time-median_vol-median_censor-fd0.3_inverse-yes_calc-novol_scale-none_tat2,0.001406,311,0.000262
LeftCaudate,10195_20160317,_ref-wholebrain_time-median_vol-mean_censor-fd0.3_calc-novol_scale-1000nvox_tat2,4.903470,311,0.750276
LeftCaudate,10195_20160317,_ref-wholebrain_time-median_vol-median_censor-fd0.3_inverse-yes_calc-zscore_scale-none_tat2,-0.000198,311,0.000535
LeftCaudate,10195_20160317,_ref-wholebrain_time-mean_vol-mean_censor-fd0.3_inverse-yes_calc-novol_scale-none_tat2,0.001406,311,0.000262
LeftCaudate,10195_20160317,_ref-wholebrain_time-median_vol-mean_censor-fd0.3_inverse-yes_calc-zscore_scale-none_tat2,0.000553,311,0.000841
LeftCaudate,10195_20160317,_ref-wholebrain_time-mean_vol-mean_censor-fd0.3_calc-novol_scale-1000nvox_tat2,4.903853,311,0.750171
LeftCaudate,10195_20160317,_ref-wholebrain_time-median_vol-median_censor-fd0.3_inverse-yes_calc-log_scale-none_tat2,0.080714,311,0.164775
LeftCaudate,10195_20160317,_ref-wholebrain_time-mean_vol-mean_censor-fd0.3_inverse-yes_calc-novol_scale-1000nvox_tat2,0.000009,311,0.000002
LeftCaudate,10195_20160317,_ref-wholebrain_time-median_vol-mean_censor-fd0.3_inverse-yes_calc-default_scale-none_tat2,0.583021,311,0.108675
