roi,subj,input,nzmean,nzvoxels,nzsigma
ventricles,11443_20170518,r2primeMap_MNI152_T1_2009c_al,5.833839,4831,4.987847
ventricles,11444_20151204,r2primeMap_MNI152_T1_2009c_al,5.379053,5258,4.516559
ventricles,11444_20170615,r2primeMap_MNI152_T1_2009c_al,5.790309,5203,4.656667
ventricles,11445_20151113,r2primeMap_MNI152_T1_2009c_al,7.722963,6010,4.745008
ventricles,11445_20170609,r2primeMap_MNI152_T1_2009c_al,8.284188,6228,4.834332
ventricles,11447_20151120,r2primeMap_MNI152_T1_2009c_al,9.227050,7197,4.769209
ventricles,11447_20170525,r2primeMap_MNI152_T1_2009c_al,9.556581,7313,4.771856
ventricles,11448_20151119,r2primeMap_MNI152_T1_2009c_al,5.549238,5302,4.221542
ventricles,11448_20170512,r2primeMap_MNI152_T1_2009c_al,5.640910,5447,3.937454
ventricles,11449_20170608,r2primeMap_MNI152_T1_2009c_al,7.107042,6281,4.543028
ventricles,11451_20160127,r2primeMap_MNI152_T1_2009c_al,4.847130,4307,4.277435
ventricles,11451_20170728,r2primeMap_MNI152_T1_2009c_al,5.244319,4544,4.433329
ventricles,11452_20151217,r2primeMap_MNI152_T1_2009c_al,9.599900,5960,5.691606
ventricles,11452_20170915,r2primeMap_MNI152_T1_2009c_al,10.632394,6748,5.589911
ventricles,11453_20151120,r2primeMap_MNI152_T1_2009c_al,2.932903,3246,3.192285
ventricles,11455_20160111,r2primeMap_MNI152_T1_2009c_al,4.313002,3916,4.382332
ventricles,11455_20170615,r2primeMap_MNI152_T1_2009c_al,4.131773,4666,4.021594
ventricles,11457_20151216,r2primeMap_MNI152_T1_2009c_al,3.668396,5289,2.754365
ventricles,11457_20170616,r2primeMap_MNI152_T1_2009c_al,4.142197,5250,2.905514
ventricles,11458_20151202,r2primeMap_MNI152_T1_2009c_al,4.789977,4709,3.714015
ventricles,11458_20170804,r2primeMap_MNI152_T1_2009c_al,4.895871,4929,3.834978
ventricles,11459_20160121,r2primeMap_MNI152_T1_2009c_al,2.564236,3610,3.834030
ventricles,11460_20160114,r2primeMap_MNI152_T1_2009c_al,4.952331,5337,3.593948
ventricles,11460_20170707,r2primeMap_MNI152_T1_2009c_al,5.845137,5366,3.999782
ventricles,11461_20151218,r2primeMap_MNI152_T1_2009c_al,7.737167,6103,5.322820
ventricles,11463_20170713,r2primeMap_MNI152_T1_2009c_al,7.703893,6750,4.262935
ventricles,11465_20160106,r2primeMap_MNI152_T1_2009c_al,4.975466,4515,5.682913
ventricles,11465_20170810,r2primeMap_MNI152_T1_2009c_al,5.624410,4642,5.748931
ventricles,11469_20151219,r2primeMap_MNI152_T1_2009c_al,5.989635,5911,3.397769
ventricles,11469_20170621,r2primeMap_MNI152_T1_2009c_al,6.753783,6130,3.863949
ventricles,11470_20151222,r2primeMap_MNI152_T1_2009c_al,14.624817,4961,7.290638
ventricles,11471_20151230,r2primeMap_MNI152_T1_2009c_al,5.316899,5500,3.250199
ventricles,11472_20160120,r2primeMap_MNI152_T1_2009c_al,5.339818,6078,3.218819
ventricles,11472_20170706,r2primeMap_MNI152_T1_2009c_al,5.585883,6154,3.412338
ventricles,11474_20151229,r2primeMap_MNI152_T1_2009c_al,11.304540,6742,5.840939
ventricles,11475_20160129,r2primeMap_MNI152_T1_2009c_al,5.698736,6077,3.683629
ventricles,11475_20170630,r2primeMap_MNI152_T1_2009c_al,5.241230,5874,3.137229
ventricles,11480_20160203,r2primeMap_MNI152_T1_2009c_al,5.803592,4762,4.816773
ventricles,11480_20170720,r2primeMap_MNI152_T1_2009c_al,6.270371,4499,4.864468
ventricles,11481_20160128,r2primeMap_MNI152_T1_2009c_al,7.637397,6169,4.621202
ventricles,11481_20170714,r2primeMap_MNI152_T1_2009c_al,7.445408,6128,4.528648
ventricles,11482_20160205,r2primeMap_MNI152_T1_2009c_al,6.125315,4956,4.475884
ventricles,11482_20170921,r2primeMap_MNI152_T1_2009c_al,6.338575,4995,4.317678
ventricles,11484_20160130,r2primeMap_MNI152_T1_2009c_al,6.509446,6640,3.993759
ventricles,11484_20171202,r2primeMap_MNI152_T1_2009c_al,6.483681,6711,3.996231
ventricles,11486_20170901,r2primeMap_MNI152_T1_2009c_al,5.084562,5416,3.667876
ventricles,11487_20160204,r2primeMap_MNI152_T1_2009c_al,5.821804,6144,4.289437
ventricles,11487_20170811,r2primeMap_MNI152_T1_2009c_al,6.000496,6090,4.387407
ventricles,11488_20160226,r2primeMap_MNI152_T1_2009c_al,4.633397,3701,3.954822
ventricles,11489_20160212,r2primeMap_MNI152_T1_2009c_al,8.603170,7268,4.900534
ventricles,11490_20160217,r2primeMap_MNI152_T1_2009c_al,5.236556,5655,3.332881
ventricles,11492_20160406,r2primeMap_MNI152_T1_2009c_al,3.719766,3800,3.818909
ventricles,11492_20170928,r2primeMap_MNI152_T1_2009c_al,4.095456,4368,3.960141
ventricles,11495_20160303,r2primeMap_MNI152_T1_2009c_al,6.340983,5481,4.398181
ventricles,11495_20170817,r2primeMap_MNI152_T1_2009c_al,6.121257,5493,4.078035
ventricles,11496_20160408,r2primeMap_MNI152_T1_2009c_al,5.868540,4491,5.180641
ventricles,11496_20170929,r2primeMap_MNI152_T1_2009c_al,5.456206,4511,5.036555
ventricles,11497_20160415,r2primeMap_MNI152_T1_2009c_al,6.067708,5501,4.134004
ventricles,11497_20171221,r2primeMap_MNI152_T1_2009c_al,6.114924,6132,4.038583
ventricles,11498_20160311,r2primeMap_MNI152_T1_2009c_al,5.567554,5510,4.086534
ventricles,11499_20160308,r2primeMap_MNI152_T1_2009c_al,3.227196,3739,2.979930
ventricles,11501_20160304,r2primeMap_MNI152_T1_2009c_al,4.803099,4311,4.290985
ventricles,11502_20160427,r2primeMap_MNI152_T1_2009c_al,4.655240,4005,3.880747
ventricles,11502_20180111,r2primeMap_MNI152_T1_2009c_al,4.096241,4253,3.730800
ventricles,11503_20160310,r2primeMap_MNI152_T1_2009c_al,8.908940,7516,5.134677
ventricles,11504_20160316,r2primeMap_MNI152_T1_2009c_al,5.560779,5826,3.621705
ventricles,11504_20170831,r2primeMap_MNI152_T1_2009c_al,6.290638,5591,4.087832
ventricles,11506_20160309,r2primeMap_MNI152_T1_2009c_al,8.563071,6967,4.316591
ventricles,11506_20170908,r2primeMap_MNI152_T1_2009c_al,7.444242,7189,3.551829
ventricles,11507_20160413,r2primeMap_MNI152_T1_2009c_al,5.342106,5831,3.582369
ventricles,11507_20171208,r2primeMap_MNI152_T1_2009c_al,5.244258,5939,3.466455
ventricles,11508_20160513,r2primeMap_MNI152_T1_2009c_al,3.892624,3545,3.284504
ventricles,11508_20171214,r2primeMap_MNI152_T1_2009c_al,2.984780,3416,2.854270
ventricles,11509_20160319,r2primeMap_MNI152_T1_2009c_al,7.362227,6526,4.318106
ventricles,11509_20171009,r2primeMap_MNI152_T1_2009c_al,7.756724,6320,4.282592
ventricles,11510_20160312,r2primeMap_MNI152_T1_2009c_al,6.329034,6323,3.769252
ventricles,11512_20160331,r2primeMap_MNI152_T1_2009c_al,6.505241,4075,5.789566
ventricles,11512_20170928,r2primeMap_MNI152_T1_2009c_al,6.118645,4062,5.079462
ventricles,11513_20160421,r2primeMap_MNI152_T1_2009c_al,5.650801,4269,3.902440
ventricles,11513_20171019,r2primeMap_MNI152_T1_2009c_al,5.546336,4459,3.885417
ventricles,11514_20160321,r2primeMap_MNI152_T1_2009c_al,2.569317,3418,3.081775
ventricles,11514_20170920,r2primeMap_MNI152_T1_2009c_al,2.189409,3604,2.675813
ventricles,11515_20160314,r2primeMap_MNI152_T1_2009c_al,8.783086,7142,4.515061
ventricles,11515_20171018,r2primeMap_MNI152_T1_2009c_al,9.090039,7326,4.498758
ventricles,11516_20160526,r2primeMap_MNI152_T1_2009c_al,5.671316,5735,3.377818
ventricles,11516_20171207,r2primeMap_MNI152_T1_2009c_al,5.607155,5753,3.363609
ventricles,11517_20160330,r2primeMap_MNI152_T1_2009c_al,9.552726,6434,5.145023
ventricles,11518_20160325,r2primeMap_MNI152_T1_2009c_al,4.245147,4062,3.860375
ventricles,11518_20171115,r2primeMap_MNI152_T1_2009c_al,3.893591,4214,3.264022
ventricles,11519_20160317,r2primeMap_MNI152_T1_2009c_al,3.340995,4114,3.003103
ventricles,11520_20160414,r2primeMap_MNI152_T1_2009c_al,9.311546,5841,7.595808
ventricles,11521_20160322,r2primeMap_MNI152_T1_2009c_al,1.043357,3014,1.842150
ventricles,11522_20160401,r2primeMap_MNI152_T1_2009c_al,7.326795,6288,4.253070
ventricles,11524_20160422,r2primeMap_MNI152_T1_2009c_al,5.840822,4630,4.136623
ventricles,11529_20160511,r2primeMap_MNI152_T1_2009c_al,5.684253,5922,4.101946
ventricles,11529_20180104,r2primeMap_MNI152_T1_2009c_al,5.940839,6492,4.071115
ventricles,11531_20160505,r2primeMap_MNI152_T1_2009c_al,6.663233,5253,5.074884
ventricles,11531_20180104,r2primeMap_MNI152_T1_2009c_al,6.297947,5315,4.636951
ventricles,11533_20160428,r2primeMap_MNI152_T1_2009c_al,6.049518,4476,4.291461
ventricles,11535_20171110,r2primeMap_MNI152_T1_2009c_al,6.008238,4720,3.489162
ventricles,11536_20160525,r2primeMap_MNI152_T1_2009c_al,6.227135,6019,3.749204
ventricles,11536_20180102,r2primeMap_MNI152_T1_2009c_al,6.411297,6454,3.542239
ventricles,11537_20160518,r2primeMap_MNI152_T1_2009c_al,5.406492,5723,3.957382
ventricles,11537_20171102,r2primeMap_MNI152_T1_2009c_al,5.779543,5776,4.103691
ventricles,11538_20160512,r2primeMap_MNI152_T1_2009c_al,8.648384,5603,5.324759
ventricles,11541_20160509,r2primeMap_MNI152_T1_2009c_al,10.256207,6878,5.204581
ventricles,11541_20171129,r2primeMap_MNI152_T1_2009c_al,10.231285,7124,4.811986
ventricles,11542_20160527,r2primeMap_MNI152_T1_2009c_al,3.523723,3546,3.622357
ventricles,11542_20171117,r2primeMap_MNI152_T1_2009c_al,3.740013,4073,3.707909
ventricles,11543_20160507,r2primeMap_MNI152_T1_2009c_al,6.869365,5176,4.971379
ventricles,11544_20160513,r2primeMap_MNI152_T1_2009c_al,7.307792,7483,3.401351
ventricles,11546_20160524,r2primeMap_MNI152_T1_2009c_al,5.326382,5344,3.652308
ventricles,11547_20160603,r2primeMap_MNI152_T1_2009c_al,5.083113,4364,4.441024
ventricles,11547_20171201,r2primeMap_MNI152_T1_2009c_al,5.218714,4113,4.566808
